Name,Category,Address,PLZ,City,Phone,Fax,Email,Website,Verified,Need_New_Website,I_Made_Website,Wants_To_Buy,Status,Last_Contact,Notes
Cafe le Boulevard,Cofetărie românească,Karl Arnold Straße 124,52511,Geilenkirchen,0245 19324030,0162-5914470,,http://www.cafeleboulevard.de,1,,,,,,
CarService Florescu,,,06237,Leuna,0152 18068373‬,,carserviceflorescu@gmail.com,https://www.abschlepp-florescu24.com/,,,,,,,
Chiosa Renovierungen & Innenausbau,Constructii,,,Salzgitter,0178 1334291 / 0163 9194046,,raduchiosa@gmail.com,,,,,,,,
Christian Ciurea,Avocat,Blücherstr. 4,86165,Augsburg,0821 4483145 /  0151 19495845,,ciurea@ra-kanzlei-ciurea.de,http://www.ra-kanzlei-ciurea.de,1,,,,,,
Christian Grema,Avocat,Martin-Luther-Str. 10,76646,Bruchsal,0725 13924424,07251-3924425,anwalt@grema.de,http://www.grema.de,1,,,,,,
Christian Leitmann,Avocat,Bahnweg 14,69168,Wiesloch,0622 25719330,,info@eu-lawyers.com,http://www.eu-lawyers.com,1,,,,,,
Christian-Oskar Marcachi,Avocat,Sonnenbergstr. 11,79117,Freiburg,0761 69675103,0761-69675105,kanzlei@itrecht-freiburg.de,http://www.itrecht-freiburg.de,1,,,,,,
Consult Juridic,Contabil,Bebelstr 31,67346,Speyer,0176 31234232,,office@consult-juridic.eu,http://consult-juridic.eu/contabilitate/,1,,,,,,
CrazyCrafterS GmbH,Constructii,Seidenbenderstr. 72,67549,Worms,0157 73705160,,info@maler-worms.de,https://www.maler-worms.de/,,,,,,,
Cristina Califice,Traduceri ro-de,Baumweg 17,60316,Frankfurt am Main,0699 0434843,0163 3048471,info@califice.com,http://www.califice.com,1,,,,,,
Cuprian Montage,Constructii,Schmiedestr. 3A,31552,Apelern,0151 66171432,,cuprian.montage@gmail.com,,,,,,,,
Dan Marius Marginean,Stomatologie,Arlbergstr. 9,,Stuttgart,0711 240397,,info@praxismarginean.de,https://www.praxismarginean.de/,,,,,,,
Dana-Lucia Popa-Schubert,Stomatologie,Agnes-Bernauer-Str. 122,80687,München,089 567414,,d-popa@t-online.de,https://zahnarztpraxis-popa.de/,,,,,,,
Daniela Hoerr,Stomatologie,"Vestnertorgraben 3,",,nurnberg,0911 353878,,info@zahnaerzte-hoerr.de,https://zahnaerzte-hoerr.de/,,,,,,,
Davor Rabovjanovic,Avocat,Bethmannstraße 58,60311,Frankfurt am Main,0696 13071,069-96201774,info@kanzlei-rabovjanovic.de,http://www.kanzlei-rabovjanovic.de,1,,,,,,
Denise Klüwer,Avocat,Kuttlerstr. 2,91054,Erlangen,0913 1976477,09131-9731651,Kanzlei@kluewer.eu,http://www.kluewer.eu,1,,,,,,
Dentalia Zahnarztpraxis Dr.-medic. stom. (Ro) Emma Miasnikov,Stomatologie,Schadowstr. 71,40212,Düsseldorf,0211 5144000,,info@dentalia.info,https://www.zahnarzt-duesseldorf-schadowstrasse.de/,,,,,,,
Diana Curelaru LL.M.,Avocat,St. Thomaser-Hohl 30,56626,Andernach,0152 54861255,,kontakt@avocat-curelaru.de,http://www.avocat-curelaru.de,1,,,,,,
Docteur-Médecine Stomatologie Madalina J. Dordea,Stomatologie,"Tegernseer Platz 5,",81541,München,0893 0908870,,info@tp5.de,https://www.tp5.de/,,,,,,,
DOCTOR MEDIC Oana Tanase,Stomatologie,Fürstenriederstr. 79,80686,München,089 564845,,info@zahnarzt-laim.eu,www.zahnarzt-laim.eu,,,,,,,
Dorina Radoi-Schmidt,Stomatologie,Pforzheimer Straße 348,,Stuttgart,0711 8666677,,info@DrRadoiSchmidt.de,https://drradoischmidt.de/index.html,,,,,,,
Dr. Adela-Mirela Ciolacu,Medicina interna,Krankenhausstraße 45,63906,Erlenbach,0937 27000,,,http://www.helios-kliniken.de,1,,,,,,
Dr. Adrian Angelescu,Medicina interna,August-Bebel-Straße 14,09577,Niederwiesa,0372 06884444,037206 / 884445,praxis@dr-skuras.de,http://www.dr-skuras.de,1,,,,,,
Dr. Adrian Danga,Medicina interna,Hauptstraße 32 b,63846,Laufach,0609 39999020,06093 / 9999029,info@internisten-laufach.de,http://www.internisten-laufach.de,1,,,,,,
Dr. Adrian Lucaciu,Stomatologie,Richard-Zanders-Straße 45,51469,Bergisch Gladbach,0220 296130,,info@centrum-zahnchirurgie-bgl.de,http://www.centrum-zahnchirurgie-bgl.de,1,,,,,,
Dr. Adrian Vizireanu,Medicina interna,Neumarkter Straße 6,90518,Altdorf,0918 78000,09187 / 800156,adrian.vizireanu@sana.de,https://www.sana.de/rummelsberg/medizin-pflege/gastroenterologie,1,,,,,,
Dr. Alexandru-Vlad Popescu,Stomatologie,Rotkreuzplatz 1,80634,München,0891 8951878,089 / 18957852,praxis@oralchirurgie-popescu.de,http://www.oralchirurgie-popescu.de,1,,,,,,
Dr. Alina Fratila,Dermatologie,Schlegelstraße 12,53113,Bonn,0228 433050,0228 / 4330529,info@jungbrunnenklinik.de,http://www.jungbrunnenklinik.de,1,,,,,,
Dr. Alina Lazar,Stomatologie,Vorderer Alter Berg 22,76327,Pfinztal,0724 0926890,07240 / 92689-4,info@praxislazar.de,http://www.praxislazar.de/,1,,,,,,
Dr. Alina-Anca Bogdan,Stomatologie,Untere Hauptstraße 9,85386,Eching,0893 1907260,,sprechstunde@praxis-dr-bogdan.de,http://www.praxis-dr-bogdan.de,1,1.0,,,,,
Dr. Alina-Elena Alupoaei,Dermatologie,Obere Königsstraße 39,34117,Kassel-Mitte,0561 7390039,0561 / 7390014,,http://www.hautarzt-meyer.de,1,,,,,,
Dr. Amalia Jurca,medicina interna,Gentnerstr. 31,86161,Augsburg,0821 552033,,email@arztpraxis-jurca-augsburg.de,http://arztpraxis-jurca-augsburg.de/index.html,1,,,,,,
Dr. Ana Georgescu,Medicina generala,Lange Straße 11,74564,Crailsheim,0795 18134,,info@arztpraxis-georgescu.de,https://arztpraxis-georgescu.de/,1,,,,,,
Dr. Anca Mülstroh,Stomatologie,Küpper 7,52525,Heinsberg-Unterbruch,0245 2931181,02452 / 931182,info@praxis-anca-muelstroh.de,http://www.praxis-anca-muelstroh.de,1,1.0,,,,,
Dr. Anca-Gabriela Pincotan,Dermatologie,Luitpoldstraße 2,95138,Bad Steben,0928 89209950,09262 / 9423749,info@dermapraxis-badsteben.de,http://www.dermapraxis-wallenfels.de,1,,,,,,
Dr. Andre Silviu Ionita,Stomatologie,Adalbertsteinweg 122 - 124,52066,Aachen,0241 57900739,0241 / 57900732,info@iodent-ac.de,http://www.iodent-ac.de,1,1.0,,,,,
Dr. Andreas Tomutia,Radiologie,Hufenweg 1,24211,Preetz,0434 22496,,webmaster@heilpraxis-tomutia.de,http://www.drtomutia.de,1,1.0,,,,,
Dr. Andreea-Ramona Andreas,Stomatologie,Georg-Wimmer-Ring 1,85604,Zorneding,0810 6998070,08106 / 998292,,http://www.praxis-andreas.de,1,,,,,,
Dr. Arpad Dani,Urologie,Lauterbacher Str. 18,78713,Schramberg,0742 295330,,,http://www.drdani-urologie-schramberg.de/Startseite/,1,,,,,,
Dr. Bogdan Buricea,Oftalmologie,Kirchstraße 21,71634,Ludwigsburg,0714 1928228,07141 / 928270,,http://www.augen-dr.de,1,,,,,,
Dr. Bogdana-Mihaela Reuss,Medicina interna,Salzbergener Straße 18 - 22,48431,Rheine,0597 1947272,05971 / 947282,,http://www.hausarztpraxis-rheine.de,1,,,,,,
Dr. Catalin Becheru,Urologie,Gabelsberger Straße 15,94315,Straubing,0942 122229,09421 / 80539,praxis@becheru.de,http://www.becheru.de,1,,,,,,
Dr. Catalin David,Oftalmologie,Untere Vorstadt 9,71063,Sindelfingen,0703 1875556,07031 / 872673,,http://www.augenarzt-sindelfingen.de,1,,,,,,
Dr. Catalin Ene,Medicina generala,Hausener Strasse 14,72505,Krauchenwies,07576 503,07571 / 52233,catalinene@praxis-krauchenwies.de,https://www.gemeinschaftspraxis-krauchenwies.de/,1,,,,,,
Dr. Catalin Sima,Stomatologie,Beuroner Straße 1,78570,Mühlheim,0746 37222,07463 / 1341,praxis@drsima.de,http://www.drsima.de,1,1.0,,,,,
Dr. Catalin Victor Bratu,Stomatologie,Wiesenweg 11,83451,Piding,0865 14511,08651 / 69110,office@deinzahnarzt.com,http://www.deinzahnarzt.com,1,,,,,,
Dr. Catalin-Ilie Radu,O.R.L.,Schloßgasse 1,74172,Neckarsulm,0713 23404070,07132 / 3404072,,http://www.hno-neckarsulm.de,1,,,,,,
Dr. Chris Constantin Bucurescu,Stomatologie,Kurfürstendamm 193 d,10707,Berlin.,0308 822222,030/8822223,,http://www.bucurescu.de,1,,,,,,
Dr. Christina Curca,O.R.L.,Kaiserallee 5,76133,Karlsruhe,0721 9851240,,,http://dr-curca.de/,1,,,,,,
Dr. Cristina Nistoroiu,Medicina de laborator,Paracelsusstraße 13,51375,Leverkusen,0214 3740,0214 / 374120,,http://www.labor-leverkusen.de,1,1.0,,,,,
Dr. Eva Simon,Oftalmologie,"O7, 11 (Planken)",68161,Mannheim,0621 14815,,info@dr-eva-simon.de,http://www.dr-eva-simon.de/Augenarzt-Mannheim.html,,,,,,,
Dr. Horia Oltean,"Neurologie, Psihiatrie, Psihoterapie",Walchstrasse 3A,94469,Deggendorf,0991 31133,0991 / 382471,,http://www.droltean.com,1,1.0,1.0,,,,
Dr. Horia Saulean,"Psihiatrie, Psihoterapie",Schwarzwaldstr. 17,78224,Singen Hohentwiel,0773 1884190,,info@dr-saulean.de,http://www.dr-saulean.de/index.php?id=1,1,,,,,,
Dr. Hutter Elena,medicina-generala,Hauptstr. 91 a,29356,Bröckel,05144 98860,,praxis@praxis-broeckel.de,http://www.praxis-broeckel.de/,1,,,,,,
Dr. Ileana Georgeta Mitrenca,Medicina generala,Waldstrasse 228,63071,Offenbach am Main,0698 34166,069/84849166,,http://www.aerztezentrum-offenbach.com,1,,,,,,
Dr. Ileana Georgetta Alpagut,Medicina generala,Lindenplatz 6,57078,Siegen,0271 89091 6,0271/8909118,,,1,,,,,,
Dr. Ileana Gheorghina Rodica Riedel,Stomatologie,Blutenburgstraße 34,80636,München,0891 84559,,,http://www.drriedel-neuhausen.de,1,1.0,,,,,
Dr. Ileana Grigorescu,Medicina generala,Fasangartenstrasse 98,81549,München,0896 870680,,praxis@grigorescu.de,http://grigorescu-praxis.de/,1,,,,,,
Dr. Ileana-Maria Niculescu,Ginecologie și obstetrică,Karl-Lederer-Platz 18,82538,Geretsried,0817 162494,08171/72250,,,1,,,,,,
Dr. Ioana Hoff,"Neurologie, Psihiatrie, Psihoterapie",Neckarauer Str. 140,68163,Mannheim,0621 39187810,,info@neuro-p71.de,http://www.neuro-p71.de/index.html,1,1.0,,,,,
Dr. Ion-Corneliu Donisanu,Stomatologie,Senner Str. 48,33647,Bielefeld-Brackwede,0521 412031,,praxis@praxis-donisanu.de,http://www.praxis-donisanu.de,1,,,,,,
Dr. Iosif Niculescu,Ginecologie și obstetrică,Salzburger Leite 1,97616,Bad Neustadt,0817 172250,08171/62494,,,1,,,,,,
Dr. Laurentiu Leibovici,Stomatologie,Voltmannstraße 140,33613,Bielefeld,0521 887077,0521 / 880062,praxis@leibovici.de,http://www.drleibovici.de,1,,,,,,
Dr. Laurentiu-Robert Chelaru,Radiologie,Josefstr. 33,49809,Lingen (Ems),0591 973450,,praxis@lingen-radiologie.de,http://www.lingen-radiologie.de,1,,,,,,
Dr. Liana Cacoveanu,medicina generala,Hauptstraße 54,70839,Gerlingen,0715 621682,,praxis@cacoveanu.de,http://www.cacoveanu.de,1,,,,,,
Dr. Liliana Voichita – Prunkl,Medicina generala,Wa-v-d-Vogelweide-Str 3,97422,Schweinfurt,0972 144454,,,,1,,,,,,
Dr. Loredana-Lavinia Grozavescu-Thury,Stomatologie,Kaiserstraße 37,76646,Bruchsal,0725 19816747,07251 / 3032592,info@dental-center-bruchsal.de,http://www.dental-center-bruchsal.de,1,,,,,,
Dr. Marius Barbuia,Medicina generala,Ofenthaler Weg 20,97762,Hammelburg,0973 291200,09732/912020,,http://www.aerztezentrum-hammelburg.de,1,,,,,,
Dr. Marius Miclea,"Neurologie, Psihiatrie, Psihoterapie",Duttenstedter Str 11,31224,Peine,0517 17909030,,praxis@neurozentrum-peine.de,http://neurozentrum-peine.de/,1,,,,,,
Dr. Marius Mitrenca,Stomatologie,Waldstraße 228,63071,Offenbach am Main,0698 35565,069/84849166,info@praxis-mitrenca.de,http://www.praxis-mitrenca.de,1,,,,,,
Dr. Matei Apostolescu,Stomatologie,Alter Steinweg 11,20459,Hamburg,040 343014,,mail@za-hh.de,https://www.za-hh.de/,,,,,,,
Dr. med. stom. Alexandra Tsitsa,Stomatologie,Saarlandstr. 81,44139,Dortmund,0231 124011,,info@zahnarztpraxis-dortmund.com,https://www.zahnarztpraxis-dortmund.com/,,,,,,,
Dr. med. stom. Andreea Gusbeth / Andrei Trandu,Stomatologie,Passauerstraße 56,81369,München,089 7608092,,zahnarztdrgusbeth@gmail.com,https://zahnarzt-drgusbeth.de/,,,,,,,
Dr. med. stom. Narcis Popita,Stomatologie,Kettenhofweg 2,60325,Frankfurt am Main,069 720808,,praxis@zahnarzt-popita.de,www.zahnarzt-popita.de,,,,,,,
Dr. Medic Stom. Calin Marian,Stomatologie,Kaiserstraße 23,,"60311, Frankfurt",069 233835,,dr.marian@t-online.de,https://dr-marian.de/,,,,,,,
Dr. medic. stom. Edeltraud Moscovici,Stomatologie,Mittelstraße 52,68169,Mannheim,0621 312356,,,,,,,,,,
Dr. Mihaela Bissdorf,"Psihiatrie, Psihoterapie",Gymnasiumstr. 33,74072,Heilbronn,0713 160268,,,http://psychiatrie-heilbronn.de/,1,,,,,,
Dr. Mihaela Ignat,Medicina generala,Hauptstraße 91 a,29356,Bröckel,0514 498860,05144 / 988686,praxis@praxis-broeckel.de,http://www.praxis-broeckel.de,1,,,,,,
Dr. Mihaela Ioana-Rullmann,Stomatologie,Ronheider Weg 6,52066,Aachen,0241 173214,0241 / 1682239,praxis@ioana-rullmann.de,http://www.dr-ioana.de,1,,,,,,
Dr. Mihaela Lazar,Oftalmologie,Hauptstraße 22,64711,Erbach,0606 23080,06062 / 913975,,http://augenarzt-erbach.de/,1,,,,,,
Dr. Mihaela Schon,Medicina interna,Wagnerplatz 10,72175,Dornhan,0745 5777,07455 / 2859,info@hausarztpraxis-dornhan.de,http://www.dr-schon-dornhan.de,1,,,,,,
"Dr. Peter Simon, Dr. Medic. Stom. Madalina Simon",Stomatologie,Kronprinzstraße 11,,Stuttgart,0711 609254,,info@dres-simon.de,https://zahnarztpraxis-simon.de/,,,,,,,
Dr. Razvan Galalae,Radioterapie,Munckelstraße 27,45879,Gelsenkirchen,0209 1600,,mail@evk-ge.de,http://evk-ge.meinediakonie.de,3,,,,,,
Dr. Rodica-Angela Filip,Stomatologie,Kraichgaustraße 2,68753,Waghäusel,0725 46337,,mail@praxis-drfilip.de,http://www.praxis-drfilip.de,1,,,,,,
Dr. Roxana Apostol,Dermatologie,Am Talweiher 17,55765,Birkenfeld,0678 29831044,06503 / 9831045,,http://www.praxis-apostol.de,1,1.0,,,,,
Dr. Roxana Popovici,Ginecologie și obstetrică,Bayerstraße 3,80335,München-Ludwigsvorstadt-Isarvorstadt,0894 5221780,089 / 452217845,,http://www.kiiz.de,1,,,,,,
Dr. Roxana Tulus,Stomatologie,Linden Straße 33 b,41747,Viersen,0216 212904,02162 / 5307184,info@dente.de,http://www.dente.de,1,,,,,,
Dr. Roxana-Gabriela Anghel,Ginecologie și obstetrică,Grachtenplatz 9,21035,Hamburg,0407 353535,040 / 7353500,,http://www.frauenarztpraxis-anghel.de,1,1.0,,,,,
Dr. Roxana-Viviana Enache,Stomatologie,Blissestraße 6,10713,Berlin-Wilmersdorf,030 827064934,,kfo.axelrad@t-online.de,http://www.kfo-berlin.com,1,,,,,,
Dr. Sorina Buga,Dermatologie,Eisenbahnstrasse 2,67227,Frankenthal,0623 3170224,,buga@hautarzt-frankenthal.de,http://www.hautarzt-frankenthal.de/,1,1.0,,,,,
Dr. Tiberiu-Petru Danciu,"Psihiatrie, Psihoterapie",Neefestraße 75,09119,Chemnitz,0371 300428,,,http://praxis-danciu.de/,1,,,,,,
Dr.-medic stom. Costin Marinescu,Stomatologie,Flößergasse 1,81369,München,0897 24800,,contact@munich-smiles.com,munich-smiles.com,,,,,,,
E&A - Altbausanierung,Constructii,Heidbergstr. 7,28239,Bremen,0176 62512611,,kontakt@ea-altbausanierung.de,https://ea-altbausanierung.de/,,,,,,,
Elena Ongert,Avocat,Rosengasse 6,74072,Heilbronn,0713 12778750,07131-2778755,ongert@ho-anwaltskanzlei.de,http://www.ho-anwaltskanzlei.de,1,,,,,,
Elisa Lutz,Contabil,Neckarstraße 40,71065,Sindelfingen,0711 25267570,,beratung@awicontax.de,https://awicontax.de/standorte/sindelfingen/,1,,,,,,
Emanuela Constantin,Traduceri ro-de,Orffstr. 8,80634,München,0899 9930919,0176 61785349,info@constantin-uebersetzungen.de,http://www.constantin-uebersetzungen.de,1,,,,,,
Fabritius Bernd,Avocat,Blumenstr.11,82538,Geretsried,0817 12349195,,ra@fabritius.de,http://www.fabritius.de,1,1.0,,,,,
Florin Buda Hausmeisterservice,Gradinar,,89250,Senden,0157 88348651,,,,,,,,,,
Fotostudio Carmen Bergmann,Fotograf,Rosenheimerstr. 96,81669,München,0152 26410000,,carmen@carmenbergmann.de,http://carmenbergmann.de/,1,,,,,,
Frau Dr. (RO) Ingrid Ispas,Stomatologie,Yorckstrasse 74,10965,Berlin,030 7858022,,,,,,,,,,
Frauenarztpraxis Lavinia Fonos,Ginecolog,Dr.-Hans-Wolf-Platz 1,,Ludwigshafen,0621 663 500,,frauenarzt@praxis-fonos.de,https://www.praxis-fonos.de/,,,,,,,
Gabriel Hair Studio,Salon de frizerie/coafor,Hauptstraße 102c,79713,Schwörstadt,0776 25659646,,,http://gabrielhairstudio.com,2,,,,,,
Gabriel Huluta Innenausbau,Constructii,Altburger Str. 74,75365,Calw,0152 54012608,,hulutag@yahoo.com,http://www.hulutag.de,1,,,,,,
Gabriela M. Simon,Stomatologie,Tübingerstrasse 3,,Stuttgart,0711 2364791,,za-g.simon@t-online.de,http://www.zahnarzt-g-simon.de/index.html,,,,,,,
Gerald Glatting,Asigurari si consiliere financiara,Parlerstr 9,73525,Schwäbisch Gmünd,0717 167736,,gerald.glatting@dvag.de,http://www.dvag.de/Gerald.glatting,1,,,,,,
Gilda Winter,Avocat,Hauptmarkt 11,90403,Nürnberg,0911 2444470,0911-24444720,kanzlei@ra-gilda-winter.de,http://www.advocats-nuernberg.com,1,,,,,,
Gloria Lungu,Asigurari si consiliere financiara,Auf dem Loor 65,51143,Köln,0176 70277179,,immowest24@freenet.de,http://www.immowest24.de/ro,1,1.0,,,,,
Hagel Reparatur Zentrum,Paintless Dent Repair,Stuttgarter Str.18,80807,München,0176 32246760,,info@heilrepair-pdrservice.com,https://hagelreparaturzentrum-munchen.com/,,,,,,,
HandwerkPlus,Constructii,,,worms,0176 23737096,,ar.handwerkplus@gmail.com,,,,,,,,
Hanse Dental Praxis,Stomatologie,Adenauerallee 1,20097,Hamburg,040 243803,,info@hansedentalpraxis.de,https://hansedentalpraxis.de/,,,,,,,
Heinberg Partner GBR,Contabil,Johannes-Rau-Allee 38,45889,Gelsenkirchen,0209 170020,,info@hupge.de,http://www.hupge.ro/,1,,,,,,
Helga Kremer,Traduceri ro-de,Lilienstraße 17,85521,Ottobrunn-Riemerling (München),0896 6090030,,info@buerokremer.de,http://www.buerokremer.de,1,,,,,,
Herr Tudor-Viorel Voda,Stomatologie,Tempelhofer Damm 124,12099,Berlin,030 71093917,,,,,,,,,,
Hildegard Bloch-Burtz,Avocat,Meyer-Olbersleben-Str. 7 a,97074,Würzburg,0931 8807852,0931-3047974,rain-bloch-burtz@medialegis de,http://www.medialegis.de,1,,,,,,
HO-Fliesenverlegung,Constructii,Limburgstraße 12a,,Ludwigshafen am Rhein,0176 23253260,,h.o_fliesenverlegung@hotmail.com,https://ho-fliesen.com/,,,,,,,
Hotel Restaurant Café Sandplacken,Restaurant cu specialități românești,Sandplacken 2,61389,Schmitten,0174 1588347,,info@hotelsandplacken.de,http://www.hotelsandplacken.de,1,,,,,,
HR Garten,Gradinar,,,Frankfurt am Main,0151 41329965,,,,,,,,,,
Ioana Bădeliță,Contabil,Kristall Straße 30,80995,München,0897 20196000,4915777576163,,,2,,,,,,
Ionescu Andreea Scholpp,Stomatologie,Sophienstraße 24B,70178,Stuttgart,0711 6402190,,praxis@dagsi.de,https://www.dagsi.de/,,,,,,,
Irene Christine Csiszar,Avocat,Wartenau 9 a,22089,Hamburg,0402 1902374,,info@anwaeltin-csiszar.de,http://www.anwaeltin-csiszar.de,1,,,,,,
Isabela Vioara Komm,Avocat,Stuttgarterstr. 2,80807,Munchen,0893 58999900,089-358-999011,komm@barleben-komm.de,http://www.barleben-komm.de,1,,,,,,
Jenica Schneider,Traduceri ro-de,Cranachstraße 16,90408,Nürnberg,0911 2476630,,info@jenica-schneider.de,http://www.jenica-schneider.de,1,,,,,,
Johanna Barra,Traduceri ro-de,Großherzog-Friedrich-Straße 100,66121,Saarbrücken,0681 6864230 / 0162 4890416,0162 4890416,info@johanna-barra.de,http://www.johanna-barra.de,1,,,,,,
Karin Fazakas,Avocat,Brunhildenstraße 2 B,85579,Neubiberg,0893 612550,089-36100568,k.fazakas@t-online.de,http://www.rechtsanwalt-rumaenien.de,1,,,,,,
Karin Wonner,Avocat,Bornheimer Landstrasse 63,60316,Frankfurt am Main,0694 35600,069-435863,ra@kanzlei-wonner.de,http://www.kanzlei-wonner.de,1,1.0,,,,,
Klaudio Kohn,Avocat,Hoher Weg 34,30519,Hannover,0511 3360000,0511-3360005,advocate_kohn@hotmail.com,http://www.advocate-kohn.de,1,,,,,,
König Rhein,Curatenie,Westerwald Straße 27,51105,Köln,0176 554 96891,,info@koenig-rhein.de,https://koenig-rhein.de/,,,,,,,
La Vio,Restaurant,Am Vogelsand 40,76437,Rastatt (Rauental),0722 2502426,,restaurant.lavio@googlemail.com,http://la-vio.de/,1,,,,,,
Laura Hartel,Traduceri ro-de,Rheinblick 9,55263,Ingelheim am Rhein,0171 7463402,,info@lh-uebersetzungen.eu,http://www.lh-uebersetzungen.eu,1,,,,,,
Liana Bindhardt,Avocat,Humboldtstraße 49,63069,Offenbach am Main,0698 83709,0173-1952818,avocatbindhardt@t-online.de,http://avocatbindhardt.homepage.t-online.de,2,,,,,,
Lucian Niculescu,Avocat,Hohensteiner Straße 115,09212,Limbach-Oberfrohna,0176 31234232,03722-720612,lucian@consult-juridic.eu,http://www.consult-juridic.eu,1,,,,,,
Magazin Maurer,Magazin cu produse românești,An der Werderau 12,90441,Nürnberg,0911 6426099,,,http://www.feinkost-maurer.de,1,,,,,,
Marc Oliver Luabengaier,Contabil,Maierstraße 5b,70567,Stuttgart,0711 94542880,,kanzlei@laubengaier.de,http://www.laubengaier.de,1,,,,,,
Marius Librimir,Stomatologie,Allersberger Str. 85,,Nurnberg,0911 8017087,,,,,,,,,,
Marius-Michael Munteanu,Traduceri ro-de,Berstraße 21m,21516,Müssen,0415 58231063,,info@m4-translate.de,http://www.M4-Translate.de,1,,,,,,
Mercaro,Magazin cu produse romanesti,Rangaustraße 3,90449,Nürnberg,,,magazin@produseromanesti.de,http://www.produseromanesti.de/,1,,,,,,
Michaela Anca Braun-Noviello,Avocat,Neuenheimer Landstraße 5,69120,Heidelberg,0622 1401401,06223-8014798,info@europe-lawyers.eu,http://www.europe-lawyers.eu/index.html,1,,,,,,
Mihai Constantin-Andrei,Constructii,,70327,Stuttgart Wangen,0151 29068488,,mcahaustechnik@gmail.com,,,,,,,,
Mihai Rogai,Traduceri ro-de,Von-Voigts-Rhetz-Str. 10,31135,Hildesheim,0163 9631460,,rogai@gmx.net,http://schimbarearomaniei.blogspot.de/,1,,,,,,
MiraMar,Restaurant,"Erdinger Str, 17",85456,Wartenberg,0172 5611452,,info@mira-mar.de,https://www.mira-mar.de/,,,,,,,
Monica Duca,Stomatologie,Aufseßpl. 5,90459,Nürnberg,0911 448313,,info@zahnarztpraxis-duca.de,https://www.zahnarztpraxis-duca.de/,,,,,,,
NC Translations Erlangen,Traduceri ro-de,Universitätsstr. 32,91054,Erlangen,0172 8325547,,info@nc-translations.com,http://www.nc-translations.com/rom/index.html,1,1.0,,,,,
Nicoleta Otelita,Traduceri ro-de,Hindenburgstraße 20,55118,Mainz,0157 33229122,,otelita@dolmetscher-rumaenisch.de,http://www.dolmetscher-rumaenisch.de,1,,,,,,
Oana Irina Curca,Stomatologie,"Sindelfingen, Mercedesstraße 1",,Stuttgart,0157 50186975,,oana.teca@gmail.com,http://zahnarztpraxis-katharina-reichel.de/,,,,,,,
